ticker,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
0050.TW,5d_vol,AlwaysUp,0.5,0.5848563968668408,0.5848563968668408,1.0,0.7380560131795717,2.2054845791367796,0.6109660574412533,0.6109660574412533,1.0,0.7585089141004863,1.0500195949515323,0.5326565858848251,-0.4947996229474191,1.1690184123777334,0.9947780678851175,1
0050.TW,5d_vol,Random,0.4900000000000001,0.5248041775456919,0.6105263157894737,0.5178571428571429,0.5603864734299517,1.34757617957943,0.4725848563968668,0.5842105263157895,0.47435897435897434,0.5235849056603774,0.160925922073758,0.5326565858848251,-0.3818236557472684,0.45242397640960014,0.9843342036553525,2
2317.TW,1d_base,AlwaysUp,0.5,0.412532637075718,0.412532637075718,1.0,0.5841035120147874,1.9683211585946814,0.5195822454308094,0.5195822454308094,1.0,0.6838487972508591,0.565223645941693,0.4171870471172592,-0.7851529071603862,0.7748960084014929,0.9973890339425587,1
2317.TW,1d_base,Random,0.42000000000000004,0.4934725848563969,0.4052631578947368,0.4873417721518987,0.4425287356321839,0.4111890542830765,0.4699738903394256,0.48947368421052634,0.46733668341708545,0.4781491002570694,-0.8951875658699235,0.4171870471172592,-0.9183926916751878,-2.186632851137974,0.9765013054830287,9
2317.TW,1d_vol,AlwaysUp,0.5,0.412532637075718,0.412532637075718,1.0,0.5841035120147874,1.9683211585946814,0.5195822454308094,0.5195822454308094,1.0,0.6838487972508591,0.565223645941693,0.4171870471172592,-0.7851529071603862,0.7748960084014929,0.9973890339425587,1
2317.TW,1d_vol,Random,0.42000000000000004,0.4934725848563969,0.4052631578947368,0.4873417721518987,0.4425287356321839,0.4111890542830765,0.4699738903394256,0.48947368421052634,0.46733668341708545,0.4781491002570694,-0.8951875658699235,0.4171870471172592,-0.9183926916751878,-2.186632851137974,0.9765013054830287,9
2317.TW,5d_base,AlwaysUp,0.5,0.518324607329843,0.518324607329843,1.0,0.6827586206896552,2.02035785230389,0.5549738219895288,0.5549738219895288,1.0,0.7138047138047138,0.49192345513805313,0.348937197415085,-0.7851529071603861,0.7363043768628658,0.9947643979057592,1
2317.TW,5d_base,Random,0.5200000000000001,0.5157068062827225,0.5343915343915344,0.51010101010101,0.5219638242894057,0.5402871260478466,0.4895287958115183,0.544973544973545,0.4858490566037736,0.513715710723192,-0.6372196285637339,0.348937197415085,-0.8672046104095882,-0.7066014341676893,0.9790575916230366,3
2317.TW,5d_vol,AlwaysUp,0.5,0.518324607329843,0.518324607329843,1.0,0.6827586206896552,2.02035785230389,0.5549738219895288,0.5549738219895288,1.0,0.7138047138047138,0.49192345513805313,0.348937197415085,-0.7851529071603861,0.7363043768628658,0.9947643979057592,1
2317.TW,5d_vol,Random,0.5200000000000001,0.5157068062827225,0.5343915343915344,0.51010101010101,0.5219638242894057,0.5402871260478466,0.4895287958115183,0.544973544973545,0.4858490566037736,0.513715710723192,-0.6372196285637339,0.348937197415085,-0.8672046104095882,-0.7066014341676893,0.9790575916230366,3
