ticker,name,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
006208.TW,???50 ETF,1d_vol,PCA_LogReg,0.4,0.5013123359580053,0.5310734463276836,0.46766169154228854,0.4973544973544973,0.8017863208818974,0.5406824146981627,0.580110497237569,0.5147058823529411,0.5454545454545454,0.3909677977111594,0.5438972962629482,-0.292141122368198,0.975593844097459,0.9396325459317585,1
006208.TW,???50 ETF,1d_vol,LogisticRegression_Ridge,0.42000000000000004,0.4881889763779528,0.5159574468085106,0.48258706467661694,0.4987146529562982,0.6790718121047419,0.5275590551181102,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.08417956809435401,0.5438972962629482,-0.3834080419243201,0.33833793888175046,0.7112860892388452,9
006208.TW,???50 ETF,1d_vol,RandomForest,0.4,0.5118110236220472,0.5454545454545454,0.44776119402985076,0.4918032786885246,0.5960046277306272,0.5380577427821522,0.6320754716981132,0.3284313725490196,0.432258064516129,0.2760923484754243,0.5438972962629482,-0.3196198847509847,0.7574312165349951,0.8241469816272966,1
006208.TW,???50 ETF,1d_vol,XGBoost,0.43000000000000005,0.5144356955380578,0.5493827160493827,0.4427860696517413,0.4903581267217631,-0.11750711806855196,0.5091863517060368,0.562962962962963,0.37254901960784315,0.44837758112094395,-0.17147130672207245,0.5438972962629482,-0.41754431160751093,-0.33709705238932464,0.4435695538057743,29
006208.TW,???50 ETF,5d_base,RandomForest,0.4,0.4868421052631579,0.5484949832775919,0.7321428571428571,0.627151051625239,0.9579638161839708,0.5710526315789474,0.6056782334384858,0.8347826086956521,0.7020109689213894,0.47125234691664164,0.5503166616910864,-0.458643352433559,0.8551972165257075,1.3526315789473684,1
006208.TW,???50 ETF,5d_base,XGBoost,0.5300000000000001,0.5710526315789474,0.6125461254612546,0.7410714285714286,0.6707070707070707,0.9219301107793543,0.55,0.6035087719298246,0.7478260869565218,0.6679611650485436,1.0984886753123844,0.5503166616910864,-0.36219422909588483,1.4010486380759566,1.1631578947368422,17
006208.TW,???50 ETF,5d_base,PCA_LogReg,0.4,0.5868421052631579,0.5883905013192612,0.9955357142857143,0.7396351575456053,0.9072883956441973,0.5947368421052631,0.6032608695652174,0.9652173913043478,0.7424749163879598,0.5426336239810268,0.5503166616910864,-0.28404016646301655,1.2050708559577719,1.0473684210526315,1
006208.TW,???50 ETF,5d_base,LogisticRegression_Ridge,0.4,0.5552631578947368,0.5757575757575758,0.9330357142857143,0.7120954003407155,0.8937673019447523,0.5973684210526315,0.6037735849056604,0.9739130434782609,0.7454242928452579,0.5685493645360418,0.5503166616910864,-0.28771946490337785,1.136557682510019,1.068421052631579,1
006208.TW,???50 ETF,5d_vol,LogisticRegression_Ridge,0.42000000000000004,0.5447368421052632,0.5747800586510264,0.875,0.6938053097345133,0.9352447443094807,0.5736842105263158,0.6259259259259259,0.7347826086956522,0.676,0.49007626891853295,0.5503166616910864,-0.27507254488874044,1.083912004210733,0.9789473684210527,1
006208.TW,???50 ETF,5d_vol,PCA_LogReg,0.4,0.5894736842105263,0.5894736842105263,1.0,0.7417218543046358,0.9203277442589863,0.6026315789473684,0.6047745358090185,0.991304347826087,0.7512355848434926,0.6419501239473282,0.5503166616910864,-0.3152365917982135,1.2572398412207733,1.194736842105263,1
006208.TW,???50 ETF,5d_vol,RandomForest,0.4,0.5263157894736842,0.5691823899371069,0.8080357142857143,0.6678966789667896,0.8357310228344343,0.5710526315789474,0.6209386281588448,0.7478260869565218,0.6785009861932939,0.810546552746354,0.5503166616910864,-0.36144400089480033,1.2007561926919958,1.231578947368421,1
